Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CLP_1.R1	CLP_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28840195.0	0.0	50-151	35.0	91.96227302602682	150.56524080367694	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CLP_1.R2	CLP_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28840195.0	0.0	50-151	35.0	93.11464382538121	149.41224121404173	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CLP_2.R1	CLP_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34290869.0	0.0	50-151	35.0	91.81197753868902	150.5762152892655	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CLP_2.R2	CLP_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34290869.0	0.0	50-151	35.0	92.62820371579275	149.53405925641604	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CLP_3.R1	CLP_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47765674.0	0.0	50-151	35.0	89.15030466871778	150.51730372317158	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CLP_3.R2	CLP_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47765674.0	0.0	50-151	36.0	90.5635497409692	149.31475035817562	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CLP_4.R1	CLP_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34042752.0	0.0	50-151	35.0	90.38435657743823	150.54918386151624	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
CLP_4.R2	CLP_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34042752.0	0.0	50-151	36.0	91.48649415156326	149.36194808809816	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
CLP_5.R1	CLP_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40849633.0	0.0	50-151	35.0	90.88209655543437	150.57958011519958	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CLP_5.R2	CLP_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40849633.0	0.0	50-151	35.0	91.96992568296713	149.51361837204266	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CLP_6.R1	CLP_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47333753.0	0.0	50-151	35.0	90.14014613757618	150.55808910820994	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CLP_6.R2	CLP_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47333753.0	0.0	50-151	35.0	91.28785116672371	149.3791820395057	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CL_1.R1	CL_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29208261.0	0.0	50-151	35.0	93.96650788972676	150.71237757016758	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CL_1.R2	CL_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29208261.0	0.0	50-151	35.0	94.5542357308787	150.2546695265425	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CL_2.R1	CL_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46992920.0	0.0	50-151	35.0	93.73458637150264	150.70825313685552	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CL_2.R2	CL_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46992920.0	0.0	50-151	35.0	94.1383972200267	150.26890716729244	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CL_3.R1	CL_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46247877.0	0.0	50-151	35.0	91.30339454748166	150.6447732508889	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CL_3.R2	CL_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46247877.0	0.0	50-151	36.0	92.72463379069045	149.9304899120018	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CL_4.R1	CL_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27026048.0	0.0	50-151	35.0	93.45759986741959	150.69519157961977	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
CL_4.R2	CL_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27026048.0	0.0	50-151	35.0	94.55831814201998	150.15046580247324	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
CL_5.R1	CL_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24931021.0	0.0	50-151	35.0	93.57108701022862	150.6387400660406	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CL_5.R2	CL_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24931021.0	0.0	50-151	36.0	94.79996069208092	149.8959648704319	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CL_6.R1	CL_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32112582.0	0.0	50-151	35.0	93.61245909717877	150.70118765286455	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CL_6.R2	CL_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32112582.0	0.0	50-151	35.0	95.03902018926132	150.05476049854852	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CS_1.R1	CS_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36750884.0	0.0	50-151	35.0	90.93647528549977	150.59384073591264	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CS_1.R2	CS_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36750884.0	0.0	50-151	35.0	93.12452891784916	149.5482548120475	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CS_2.R1	CS_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34994916.0	0.0	50-151	35.0	91.35097774254905	150.59412472943214	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CS_2.R2	CS_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34994916.0	0.0	50-151	35.0	93.61487485110385	149.48769629851375	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CS_3.R1	CS_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32855317.0	0.0	50-151	35.0	91.3345253647707	150.60315519098478	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CS_3.R2	CS_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32855317.0	0.0	50-151	35.0	93.40078732456006	149.6845424745103	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CS_5.R1	CS_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36029374.0	0.0	50-151	35.0	90.95715069150104	150.5933513305005	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CS_5.R2	CS_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36029374.0	0.0	50-151	35.0	92.88055814568769	149.68471697565437	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CS_6.R1	CS_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30723583.0	0.0	50-151	35.0	94.16056363475063	150.71135619175666	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CS_6.R2	CS_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30723583.0	0.0	50-151	35.0	93.89801110223439	150.03349635359913	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CS_7.R1	CS_7.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33046870.0	0.0	50-151	35.0	91.47764307719792	150.60175608158957	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
