Sample	Picard_mqc-generalstats-PERCENT_DUPLICATION	Trimmomatic_mqc-generalstats-dropped_pct	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
CLP_1-RG	0.059641						
CLP_1.F		0.04					
CLP_1.R1			8.037726973973179	35.0	150.56524080367694	0.0	28840195.0
CLP_1.R2			6.885356174618792	35.0	149.41224121404173	0.0	28840195.0
CLP_2-RG	0.06507						
CLP_2.F		0.04					
CLP_2.R1			8.188022461310979	35.0	150.5762152892655	0.0	34290869.0
CLP_2.R2			7.3717962842072495	35.0	149.53405925641604	0.0	34290869.0
CLP_3-RG	0.058497						
CLP_3.F		0.06					
CLP_3.R1			10.84969533128222	35.0	150.51730372317158	0.0	47765674.0
CLP_3.R2			9.436450259030806	36.0	149.31475035817562	0.0	47765674.0
CLP_4-RG	0.06716						
CLP_4.F		0.04					
CLP_4.R1			9.615643422561774	35.0	150.54918386151624	0.0	34042752.0
CLP_4.R2			8.513505848436736	36.0	149.36194808809816	0.0	34042752.0
CLP_5-RG	0.067514						
CLP_5.F		0.03					
CLP_5.R1			9.117903444565627	35.0	150.57958011519958	0.0	40849633.0
CLP_5.R2			8.03007431703287	35.0	149.51361837204266	0.0	40849633.0
CLP_6-RG	0.07264						
CLP_6.F		0.04					
CLP_6.R1			9.859853862423819	35.0	150.55808910820994	0.0	47333753.0
CLP_6.R2			8.712148833276288	35.0	149.3791820395057	0.0	47333753.0
CL_1-RG	0.059334						
CL_1.F		0.07					
CL_1.R1			6.033492110273244	35.0	150.71237757016758	0.0	29208261.0
CL_1.R2			5.445764269121298	35.0	150.2546695265425	0.0	29208261.0
CL_2-RG	0.057319						
CL_2.F		0.08					
CL_2.R1			6.265413628497356	35.0	150.70825313685552	0.0	46992920.0
CL_2.R2			5.861602779973296	35.0	150.26890716729244	0.0	46992920.0
CL_3-RG	0.058529						
CL_3.F		0.09					
CL_3.R1			8.696605452518341	35.0	150.6447732508889	0.0	46247877.0
CL_3.R2			7.275366209309553	36.0	149.9304899120018	0.0	46247877.0
CL_4-RG	0.058786						
CL_4.F		0.05					
CL_4.R1			6.542400132580411	35.0	150.69519157961977	0.0	27026048.0
CL_4.R2			5.441681857980015	35.0	150.15046580247324	0.0	27026048.0
CL_5-RG	0.054872						
CL_5.F		0.1					
CL_5.R1			6.428912989771376	35.0	150.6387400660406	0.0	24931021.0
CL_5.R2			5.200039307919084	36.0	149.8959648704319	0.0	24931021.0
CL_6-RG	0.056011						
CL_6.F		0.04					
CL_6.R1			6.387540902821229	35.0	150.70118765286455	0.0	32112582.0
CL_6.R2			4.960979810738678	35.0	150.05476049854852	0.0	32112582.0
CS_1-RG	0.06394						
CS_1.F		0.04					
CS_1.R1			9.063524714500232	35.0	150.59384073591264	0.0	36750884.0
CS_1.R2			6.875471082150838	35.0	149.5482548120475	0.0	36750884.0
CS_2-RG	0.060297						
CS_2.F		0.03					
CS_2.R1			8.649022257450952	35.0	150.59412472943214	0.0	34994916.0
CS_2.R2			6.385125148896151	35.0	149.48769629851375	0.0	34994916.0
CS_3-RG	0.061915						
CS_3.F		0.04					
CS_3.R1			8.665474635229302	35.0	150.60315519098478	0.0	32855317.0
CS_3.R2			6.599212675439944	35.0	149.6845424745103	0.0	32855317.0
CS_5-RG	0.059315						
CS_5.F		0.04					
CS_5.R1			9.042849308498958	35.0	150.5933513305005	0.0	36029374.0
CS_5.R2			7.1194418543123135	35.0	149.68471697565437	0.0	36029374.0
CS_6-RG	0.065623						
CS_6.F		0.07					
CS_6.R1			5.8394363652493695	35.0	150.71135619175666	0.0	30723583.0
CS_6.R2			6.101988897765608	35.0	150.03349635359913	0.0	30723583.0
CS_7-RG	0.06077						
CS_7.F		0.04					
CS_7.R1			8.522356922802075	35.0	150.60175608158957	0.0	33046870.0
CS_7.R2			6.541207933010696	35.0	149.70550984102277	0.0	33046870.0
DEBY_1-RG	0.059485						
DEBY_1.F		0.08					
DEBY_1.R1			7.517757233767668	35.0	150.6797542465636	0.0	33955985.0
DEBY_1.R2			6.07584164589008	36.0	149.96239623147437	0.0	33955985.0
DEBY_2-RG	0.057687						
DEBY_2.F		0.12					
DEBY_2.R1			7.440898480028025	36.0	150.62773319552613	0.0	29602712.0
DEBY_2.R2			5.836529906043381	36.0	149.85294995944966	0.0	29602712.0
DEBY_3-RG	0.057208						
DEBY_3.F		0.1					
DEBY_3.R1			7.037595795599529	35.0	150.68272750771015	0.0	42695564.0
DEBY_3.R2			6.4689203760153475	36.0	150.20387038334943	0.0	42695564.0
DEBY_4-RG	0.061165						
DEBY_4.F		0.05					
DEBY_4.R1			8.433415090340262	35.0	150.52997759811615	0.0	26594192.0
DEBY_4.R2			7.261110100295738	36.0	149.2814934554131	0.0	26594192.0
DEBY_5-RG	0.061992						
DEBY_5.F		0.06					
DEBY_5.R1			6.198969653455933	35.0	150.70922768544517	0.0	32233110.0
DEBY_5.R2			5.394274156390281	35.0	150.19663045235163	0.0	32233110.0
DEBY_6-RG	0.065734						
DEBY_6.F		0.05					
DEBY_6.R1			9.167386469670774	35.0	150.54117513816377	0.0	33569942.0
