Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
CLP_1-RG	Unknown Library	255758.0	21025875.0	381006.0	0.0	38467.0	1242401.0	925325.0	0.059641	630403925.0
CLP_2-RG	Unknown Library	279462.0	25057929.0	449872.0	0.0	46122.0	1616546.0	1206970.0	0.06507	686486650.0
CLP_3-RG	Unknown Library	407701.0	34132181.0	768180.0	0.0	73945.0	1971575.0	1505765.0	0.058497	1131713487.0
CLP_4-RG	Unknown Library	301375.0	24561281.0	491723.0	0.0	49693.0	1634800.0	1216871.0	0.06716	644173627.0
CLP_5-RG	Unknown Library	354734.0	29837290.0	531451.0	0.0	62784.0	1995012.0	1477415.0	0.067514	767456591.0
CLP_6-RG	Unknown Library	454469.0	34353936.0	628351.0	0.0	90450.0	2466752.0	1565820.0	0.07264	585657838.0
CL_1-RG	Unknown Library	174936.0	21273267.0	428369.0	0.0	24375.0	1255229.0	853442.0	0.059334	512064242.0
CL_2-RG	Unknown Library	254779.0	34381562.0	690944.0	0.0	43298.0	1956386.0	1352895.0	0.057319	892775237.0
CL_3-RG	Unknown Library	424722.0	32653229.0	936946.0	0.0	69414.0	1888878.0	1405687.0	0.058529	999932776.0
CL_4-RG	Unknown Library	185727.0	19554288.0	437741.0	0.0	26192.0	1141876.0	830406.0	0.058786	556530210.0
CL_5-RG	Unknown Library	240368.0	17503654.0	510681.0	0.0	28107.0	953009.0	698895.0	0.054872	550040156.0
CL_6-RG	Unknown Library	275685.0	23115616.0	493516.0	0.0	38485.0	1283199.0	936969.0	0.056011	702942662.0
CS_1-RG	Unknown Library	295911.0	26833610.0	488425.0	0.0	50644.0	1699866.0	1079519.0	0.06394	525978931.0
CS_2-RG	Unknown Library	297134.0	25664167.0	460752.0	0.0	49868.0	1531507.0	978067.0	0.060297	542299891.0
CS_3-RG	Unknown Library	196365.0	24950391.0	390817.0	0.0	31613.0	1535064.0	962439.0	0.061915	494413914.0
CS_5-RG	Unknown Library	221764.0	26357790.0	488008.0	0.0	37340.0	1551320.0	963107.0	0.059315	539679229.0
CS_6-RG	Unknown Library	256851.0	22588529.0	400210.0	0.0	38759.0	1471375.0	1174356.0	0.065623	764793922.0
CS_7-RG	Unknown Library	206455.0	24317508.0	458394.0	0.0	34229.0	1466937.0	919980.0	0.06077	492615532.0
DEBY_1-RG	Unknown Library	270584.0	24685928.0	465848.0	0.0	39072.0	1456955.0	1070444.0	0.059485	713549217.0
DEBY_2-RG	Unknown Library	280037.0	20879907.0	622017.0	0.0	34928.0	1195122.0	876656.0	0.057687	621529113.0
DEBY_3-RG	Unknown Library	221909.0	31321145.0	607508.0	0.0	35899.0	1780212.0	1238020.0	0.057208	824511927.0
DEBY_4-RG	Unknown Library	258726.0	19201271.0	417878.0	0.0	37031.0	1163849.0	870276.0	0.061165	566176150.0
DEBY_5-RG	Unknown Library	205274.0	23719783.0	436577.0	0.0	30222.0	1461680.0	1003213.0	0.061992	555193443.0
DEBY_6-RG	Unknown Library	279017.0	24275377.0	494046.0	0.0	44468.0	1582666.0	1174663.0	0.065734	646246319.0
HC_1-RG	Unknown Library	325222.0	27278873.0	479311.0	0.0	53174.0	2037150.0	1608943.0	0.075205	760843143.0
HC_3-RG	Unknown Library	209939.0	22292452.0	396558.0	0.0	31336.0	1507148.0	1195355.0	0.067991	706704976.0
HC_4-RG	Unknown Library	262273.0	28239545.0	498556.0	0.0	44673.0	1915248.0	1509942.0	0.068295	872465284.0
HC_5-RG	Unknown Library	341805.0	31964091.0	565898.0	0.0	63213.0	2013815.0	1270319.0	0.063651	623292939.0
HC_6-RG	Unknown Library	193543.0	19695805.0	345497.0	0.0	26894.0	1200213.0	950133.0	0.061319	696313062.0
HC_7-RG	Unknown Library	650939.0	53153420.0	1258772.0	0.0	145919.0	2951143.0	1931223.0	0.056548	1269103595.0
HC_VA_1-RG	Unknown Library	385364.0	30326749.0	587873.0	0.0	73978.0	2110159.0	1343540.0	0.070353	538173099.0
HC_VA_2-RG	Unknown Library	376741.0	29096279.0	569873.0	0.0	69428.0	1976621.0	1259159.0	0.068682	530712802.0
HC_VA_3-RG	Unknown Library	255291.0	22761900.0	407930.0	0.0	37063.0	1184088.0	841977.0	0.05254	694906837.0
HC_VA_4-RG	Unknown Library	213011.0	24381180.0	445117.0	0.0	33440.0	1378956.0	978834.0	0.056995	676555296.0
HC_VA_5-RG	Unknown Library	318284.0	28327470.0	507270.0	0.0	59639.0	1942833.0	1240757.0	0.069248	513446214.0
HC_VA_6-RG	Unknown Library	372310.0	30422932.0	544690.0	0.0	72173.0	2220105.0	1419844.0	0.07371	515852658.0
HG_HG0F2-RG	Unknown Library	155287.0	33426314.0	216190.0	0.0	25393.0	1910496.0	1333836.0	0.057402	882280897.0
HG_HG2F1-RG	Unknown Library	224710.0	40337031.0	982984.0	0.0	44796.0	2852152.0	1822872.0	0.071065	707675812.0
HG_HG2M5-RG	Unknown Library	44422.0	17709662.0	550506.0	0.0	4911.0	1241867.0	738465.0	0.070174	280389588.0
HI_1-RG	Unknown Library	254645.0	28318447.0	477463.0	0.0	41922.0	1814231.0	1268013.0	0.064515	660763814.0
