Sample	NC_007175.2	NC_035789.1	NC_035780.1	NC_035781.1	NC_035782.1	NC_035783.1	NC_035784.1	NC_035785.1	NC_035786.1	NC_035787.1	NC_035788.1	*
CLP_1.F	58295	1513769	4364953	4010508	4654927	3947674	7143322	2323773	2669833	3802262	4833131	0
CLP_2.F	46314	1928186	5058523	4719082	5475262	4586955	8349954	2805183	3118350	4421575	6056108	0
CLP_3.F	57848	2481481	6975432	6482482	7440430	6439711	11536360	3822614	4185742	6224993	8221120	0
CLP_4.F	44476	1698263	5073202	4715631	5434668	4654826	8297454	2716332	3024548	4190853	5713470	0
CLP_5.F	74005	2140241	6058396	5643362	6541614	5527456	9944266	3272771	3793531	5106922	7221143	0
CLP_6.F	74940	2545598	6972737	6541006	7464826	6368197	11429767	3884767	4177694	6021543	7900869	0
CL_1.F	60418	1605510	4317571	4082075	4693272	3969645	7160360	2378087	2586434	3834496	4979760	0
CL_2.F	82745	2399320	7101400	6590632	7576452	6427013	11648752	3837692	4132543	6182161	8250192	0
CL_3.F	70825	2420933	6754156	6261609	7282815	6227566	11153926	3570260	3878479	5863563	7506766	0
CL_4.F	44121	1436493	3978915	3769838	4290309	3648551	6654832	2169923	2392061	3483434	4627978	0
CL_5.F	49002	1274782	3644693	3360354	3888711	3316195	5990739	1920193	2099782	3096102	4181944	0
CL_6.F	55604	1665504	4723073	4437246	5090388	4333750	7941072	2574023	2823202	4201611	5473059	0
CS_1.F	76630	1925544	5460176	5099026	5909076	5012982	9076478	2944709	3390413	4723816	6302327	0
CS_2.F	88406	2005339	5257048	4888861	5660447	4762891	8606418	2794003	3244987	4444699	6196881	0
CS_3.F	98950	1818978	4774095	4742657	5523456	4612310	8713359	2544424	3060114	4367179	6269490	0
CS_5.F	78662	1926657	5353064	4988041	5779136	4916828	8931294	2994019	3225646	4615926	6410186	0
CS_6.F	66637	1553332	4611292	4326790	5000740	4262609	7692278	2451334	2819018	3905692	5249521	0
CS_7.F	95502	1698818	5018415	4664002	5419646	4564537	8163722	2707160	3017340	4282070	5712758	0
DEBY_1.F	77554	1996310	5128263	4666276	5454932	4638844	8253843	2777133	3116971	4360090	5654154	0
DEBY_2.F	67255	1458139	4319955	3993985	4725847	3947342	7305217	2285752	2507762	3637772	4800864	0
DEBY_3.F	119098	2280259	6526382	6054815	7027736	5988376	10731913	3465582	3954316	5440113	6985743	0
DEBY_4.F	42440	1315304	4054343	3689740	4281387	3621429	6522130	2122910	2332985	3434364	4447086	0
DEBY_5.F	73027	1644991	4848584	4469079	5307493	4440125	8094253	2571365	2944210	4130195	5625406	0
DEBY_6.F	91728	1640934	5039100	4647214	5447906	4558281	8211834	2756602	2921312	4212502	5560603	0
HC_1.F	84891	2042042	5453029	5155239	5963389	5024230	9067791	2828757	3360249	4759902	6400643	0
HC_3.F	57489	1547126	4527759	4208369	4835675	4098545	7447357	2445402	2733629	3948153	5393681	0
HC_4.F	72181	2023227	5744081	5311576	6143505	5244100	9392083	3130324	3604982	4920616	6641572	0
HC_5.F	149774	2267445	6488545	6092333	7139313	5906498	10776515	3510670	3964484	5555863	7628141	0
HC_6.F	43857	1436804	4028218	3712152	4367405	3660053	6607761	2202493	2491337	3443245	4702484	0
HC_7.F	73538	3691664	11137862	10152568	11835782	9934476	18120221	5825620	6631056	9390304	12863231	0
HC_VA_1.F	77475	2116945	6187500	5746909	6593143	5646414	10237767	3398356	3734313	5246763	7079383	0
HC_VA_2.F	64663	2138027	6008148	5564231	6450856	5439083	9790792	3119479	3548475	5043374	6742610	0
HC_VA_3.F	59622	1519567	4716928	4409222	5131865	4353312	7822136	2482282	2897038	4075080	5403458	0
HC_VA_4.F	70087	1809313	5010270	4687006	5421399	4622759	8304543	2707358	3044339	4253168	5716863	0
HC_VA_5.F	68260	1974078	5756604	5372087	6232945	5265015	9511366	3064571	3504264	4915923	6749282	0
HC_VA_6.F	70594	2186528	6122818	5815800	6740896	5671800	10172414	3402828	3682540	5184858	7006224	0
HG_HG0F2.F	120334	2721300	6267851	5939459	7077491	5639457	11052949	4159316	4369646	6436725	9120599	0
HG_HG2F1.F	107365	5023922	6283899	4306032	6284627	4537565	10753204	6144006	6412647	9632644	15255031	0
HG_HG2M5.F	12598	1678339	3054135	2617124	3335184	2578729	5471280	2424951	2425856	3611944	5569780	0
HI_1.F	75187	2181252	5682798	5360817	6357071	5235070	9688322	3286657	3418392	4839079	6489169	0
HI_2.F	52698	1251858	3467573	3221353	3857787	3246544	5924161	1936020	2148716	3000814	4112936	0
HI_3.F	76064	2150771	6026643	5741481	6635393	5580801	9939388	3364966	3712325	5166836	6899878	0
HI_4.F	83868	2025943	5552657	5164623	5923327	5185087	9228636	3054283	3281548	4674440	6398987	0
HI_5.F	124907	2657511	7375836	7152187	8161322	6840030	12949142	4553152	4755892	6380087	8702808	0
HI_6.F	80784	2003863	5611165	5238463	6067686	5170910	9348646	3136471	3378239	4821667	6570233	0
LM_1_pool.F	80506	1564817	4176576	4082635	4461844	3701629	7292096	2377335	2675861	3728703	4857663	0
LM_3.F	136181	2329690	5845818	5727626	6166528	5095841	10320764	3480630	3925980	5231588	7291599	0
LM_4.F	170808	4049937	10885222	10630405	11508666	9543151	19334353	6479131	7507449	10021293	13284630	0
LM_7.F	64649	1815024	5221248	4984861	5505989	4222311	8772151	2980916	3296765	4355501	6182734	0
LM_8.F	81125	1587000	4308326	4241651	4562320	3779889	7666457	2549827	2959195	3817409	5333716	0
LOLA_1.F	68904	2314723	6604569	6211851	7072408	6141180	11004401	3597343	4096321	5496491	7584472	0
LOLA_2.F	70457	1785868	4781136	4574696	5273831	4413084	8086295	2582738	2933258	4153491	5678489	0
LOLA_3.F	72874	1776196	5063195	4734992	5571031	4608074	8346220	2847703	3021203	4435110	5956386	0
LOLA_4.F	69601	2002193	5741262	5329018	6063253	5259384	9389353	3162394	3482390	5001023	6781389	0
LOLA_5.F	48403	1652774	4881305	4562864	5189827	4399490	8031937	2618569	2907624	4212884	5859928	0
LOLA_6.F	71912	2016372	5519470	5118201	5938334	5005621	9222816	2916804	3486906	4725494	6058252	0
NEH_1.F	70156	1648892	4509408	4299018	5126531	4253532	7815759	2538341	2738699	4011110	5374255	0
NEH_2.F	80224	1795777	5240224	4965989	5914935	4783064	9467870	3153781	3552847	4887144	6111262	0
NEH_3.F	116839	2486408	7493368	7182927	8201683	7017421	13490586	4044886	4580426	6416726	8372606	0
NEH_4.F	110805	2657021	8410412	7790389	9324169	7687395	14067943	4765508	5108724	7154161	9660143	0
NEH_5.F	66063	1797525	4546041	4322904	5365806	4326726	8177272	2469173	2754744	3893152	5063438	0
NEH_6.F	68785	1762759	5198949	5006021	5806455	4857871	8885599	2842972	3382542	4529150	5917200	0
NG_NH0H4.F	88684	1743726	5140679	4849722	5730576	4759495	9239205	2960284	3148471	4568525	6045380	0
NG_NH2F6.F	15453	1712633	4441258	3911593	4775680	3995248	8111312	2664327	2893445	4068126	5725686	0
NG_NH2F8.F	26992	1894657	4720976	4154363	5033196	4218562	8330229	2830159	3042887	4339964	6027732	0
NG_NH2M1.F	34240	2131342	5534332	4821587	5933888	4962359	9921293	3301308	3554893	5104727	7131462	0
OBOYS2_1.F	44559	1598959	4607431	4284669	4943903	4194858	7664390	2513970	2760217	4027042	5372373	0
OBOYS2_2.F	68012	1766806	4980283	4602924	5387396	4550920	8258262	2693972	3013921	4253474	5780171	0
OBOYS2_3.F	80388	1849612	5849911	5418184	6240575	5305311	9634449	3178534	3447981	5045004	6617255	0
OBOYS2_4.F	57265	1428326	3965562	3707053	4301634	3646436	6609440	2134876	2329951	3429204	4640881	0
OBOYS2_5.F	54082	1880363	4994634	4655537	5437083	4635588	8324031	2800490	3027632	4380156	5934215	0
OBOYS2_6.F	115253	2534953	7609170	7073144	8210498	6955193	12636098	4090445	4479013	6629865	8814267	0
SL_1.F	67482	2211160	6324378	5889696	6802550	5787276	10481484	3388458	3845332	5383064	7444549	0
SL_2.F	53394	1520465	4198823	3946872	4583754	3852770	7117558	2263023	2513541	3692132	4824418	0
SL_3.F	75741	2441413	6671090	6185509	7146850	6078144	11056515	3563226	4045852	5713257	8113818	0
SL_4.F	51801	1548791	4423336	4119846	4734977	4056627	7310711	2392697	2642390	3783955	5031978	0
SL_5.F	96360	2727436	7158743	6627025	7684993	6505442	11678663	3874969	4208242	6343893	8368064	0
SL_6.F	61340	1985441	5414135	5123159	5886897	4988391	9088717	2977219	3243943	4763772	6123522	0
SM_10.F	51082	2023656	5989845	5662646	6425154	5502573	9909882	3248960	3651736	5177612	7068995	0
SM_11.F	49185	1520574	4455378	4057665	4692690	4003641	7289758	2292194	2693445	3752782	5129737	0
SM_12.F	53166	1863161	5180289	4766021	5553878	4682975	8510364	2715937	3085072	4351969	6068275	0
SM_7.F	106340	2352592	6625540	6270961	7312721	6148533	11144673	3689957	4105346	5899272	7878567	0
SM_8.F	57616	1682713	5085737	4814685	5566917	4695891	8541338	2772045	3100606	4503480	6002558	0
SM_9.F	62008	1958760	5118821	4766400	5466588	4661003	8402708	2615986	3074662	4417711	6015266	0
UMFS_1.F	77915	1575629	4609649	4299532	4972466	4191459	7460780	2480050	2722987	3809681	5084276	0
UMFS_2.F	58837	1932301	5381605	5036204	5892857	4973362	8881345	2992811	3280423	4700760	6248421	0
UMFS_3.F	96594	2618889	7270776	6738070	7829758	6559714	11928405	3945743	4336946	6188646	8401336	0
UMFS_4.F	87707	2415143	6702299	6230600	7413102	6089273	10936020	3592843	4087680	5612540	7691141	0
UMFS_5.F	77956	1894567	5147833	4854669	5605171	4733040	8578788	2783925	3027645	4365062	5839361	0
UMFS_6.F	87440	1901091	5217554	4908586	5682279	4848346	8735645	2856569	3097345	4568697	6146633	0
