Module	Section	Sample Name	Source
Picard	DuplicationMetrics	CL_1-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CL_1_dup_metrics.txt
Picard	DuplicationMetrics	CL_5-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CL_5_dup_metrics.txt
Picard	DuplicationMetrics	CL_6-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CL_6_dup_metrics.txt
Picard	DuplicationMetrics	CS_6-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CS_6_dup_metrics.txt
Picard	DuplicationMetrics	DEBY_2-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/DEBY_2_dup_metrics.txt
Picard	DuplicationMetrics	DEBY_5-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/DEBY_5_dup_metrics.txt
Picard	DuplicationMetrics	HC_4-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_4_dup_metrics.txt
Picard	DuplicationMetrics	HI_1-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HI_1_dup_metrics.txt
Picard	DuplicationMetrics	HI_2-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HI_2_dup_metrics.txt
Picard	DuplicationMetrics	HI_3-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HI_3_dup_metrics.txt
Picard	DuplicationMetrics	CL_2-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CL_2_dup_metrics.txt
Picard	DuplicationMetrics	CL_3-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CL_3_dup_metrics.txt
Picard	DuplicationMetrics	CL_4-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CL_4_dup_metrics.txt
Picard	DuplicationMetrics	CLP_1-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CLP_1_dup_metrics.txt
Picard	DuplicationMetrics	CLP_2-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CLP_2_dup_metrics.txt
Picard	DuplicationMetrics	CLP_3-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CLP_3_dup_metrics.txt
Picard	DuplicationMetrics	CLP_4-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CLP_4_dup_metrics.txt
Picard	DuplicationMetrics	CLP_5-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CLP_5_dup_metrics.txt
Picard	DuplicationMetrics	CLP_6-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CLP_6_dup_metrics.txt
Picard	DuplicationMetrics	CS_1-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CS_1_dup_metrics.txt
Picard	DuplicationMetrics	CS_2-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CS_2_dup_metrics.txt
Picard	DuplicationMetrics	CS_3-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CS_3_dup_metrics.txt
Picard	DuplicationMetrics	CS_5-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CS_5_dup_metrics.txt
Picard	DuplicationMetrics	CS_7-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/CS_7_dup_metrics.txt
Picard	DuplicationMetrics	DEBY_1-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/DEBY_1_dup_metrics.txt
Picard	DuplicationMetrics	DEBY_3-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/DEBY_3_dup_metrics.txt
Picard	DuplicationMetrics	DEBY_4-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/DEBY_4_dup_metrics.txt
Picard	DuplicationMetrics	DEBY_6-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/DEBY_6_dup_metrics.txt
Picard	DuplicationMetrics	HC_1-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_1_dup_metrics.txt
Picard	DuplicationMetrics	HC_3-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_3_dup_metrics.txt
Picard	DuplicationMetrics	HC_5-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_5_dup_metrics.txt
Picard	DuplicationMetrics	HC_6-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_6_dup_metrics.txt
Picard	DuplicationMetrics	HC_7-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_7_dup_metrics.txt
Picard	DuplicationMetrics	HC_VA_1-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_VA_1_dup_metrics.txt
Picard	DuplicationMetrics	HC_VA_2-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_VA_2_dup_metrics.txt
Picard	DuplicationMetrics	HC_VA_3-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_VA_3_dup_metrics.txt
Picard	DuplicationMetrics	HC_VA_4-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_VA_4_dup_metrics.txt
Picard	DuplicationMetrics	HC_VA_5-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_VA_5_dup_metrics.txt
Picard	DuplicationMetrics	HC_VA_6-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HC_VA_6_dup_metrics.txt
Picard	DuplicationMetrics	HG_HG0F2-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HG_HG0F2_dup_metrics.txt
Picard	DuplicationMetrics	HG_HG2F1-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HG_HG2F1_dup_metrics.txt
Picard	DuplicationMetrics	HG_HG2M5-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HG_HG2M5_dup_metrics.txt
Picard	DuplicationMetrics	HI_4-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HI_4_dup_metrics.txt
Picard	DuplicationMetrics	HI_5-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HI_5_dup_metrics.txt
Picard	DuplicationMetrics	HI_6-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/HI_6_dup_metrics.txt
Picard	DuplicationMetrics	LM_1_pool-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/LM_1_pool_dup_metrics.txt
Picard	DuplicationMetrics	LM_3-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/LM_3_dup_metrics.txt
Picard	DuplicationMetrics	LM_4-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/LM_4_dup_metrics.txt
Picard	DuplicationMetrics	LM_7-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/LM_7_dup_metrics.txt
Picard	DuplicationMetrics	LM_8-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/LM_8_dup_metrics.txt
Picard	DuplicationMetrics	LOLA_1-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/LOLA_1_dup_metrics.txt
Picard	DuplicationMetrics	LOLA_2-RG	/home/jpuritz/Oyster_Genome_Project/logfiles/LOLA_2_dup_metrics.txt
