Sample	input_read_pairs	surviving	surviving_pct	forward_only_surviving	forward_only_surviving_pct	reverse_only_surviving	reverse_only_surviving_pct	dropped	dropped_pct
CLP_1.F	29652449.0	28840195.0	97.26	740396.0	2.5	59877.0	0.2	11981.0	0.04
CLP_2.F	35311963.0	34290869.0	97.11	937195.0	2.65	70669.0	0.2	13230.0	0.04
CLP_3.F	49194636.0	47765674.0	97.1	1298402.0	2.64	102894.0	0.21	27666.0	0.06
CLP_4.F	34962136.0	34042752.0	97.37	830731.0	2.38	73115.0	0.21	15538.0	0.04
CLP_5.F	42017396.0	40849633.0	97.22	1069638.0	2.55	85040.0	0.2	13085.0	0.03
CLP_6.F	48844898.0	47333753.0	96.91	1392286.0	2.85	100237.0	0.21	18622.0	0.04
CL_1.F	30878164.0	29208261.0	94.59	1588651.0	5.14	59644.0	0.19	21608.0	0.07
CL_2.F	49887229.0	46992920.0	94.2	2758735.0	5.53	95336.0	0.19	40238.0	0.08
CL_3.F	48204914.0	46247877.0	95.94	1812968.0	3.76	99057.0	0.21	45012.0	0.09
CL_4.F	28692872.0	27026048.0	94.19	1596653.0	5.56	55395.0	0.19	14776.0	0.05
CL_5.F	25912588.0	24931021.0	96.21	900341.0	3.47	54952.0	0.21	26274.0	0.1
CL_6.F	33328299.0	32112582.0	96.35	1138637.0	3.42	65159.0	0.2	11921.0	0.04
CS_1.F	38041135.0	36750884.0	96.61	1200602.0	3.16	76291.0	0.2	13358.0	0.04
CS_2.F	36064101.0	34994916.0	97.04	984815.0	2.73	72580.0	0.2	11790.0	0.03
CS_3.F	34267784.0	32855317.0	95.88	1330122.0	3.88	67810.0	0.2	14535.0	0.04
CS_5.F	37958616.0	36029374.0	94.92	1838315.0	4.84	75497.0	0.2	15430.0	0.04
CS_6.F	32002481.0	30723583.0	96.0	1194421.0	3.73	63235.0	0.2	21242.0	0.07
CS_7.F	34888554.0	33046870.0	94.72	1759208.0	5.04	67281.0	0.19	15195.0	0.04
DEBY_1.F	35170033.0	33955985.0	96.55	1112711.0	3.16	72275.0	0.21	29062.0	0.08
DEBY_2.F	30910198.0	29602712.0	95.77	1204572.0	3.9	65894.0	0.21	37020.0	0.12
DEBY_3.F	45025142.0	42695564.0	94.83	2192480.0	4.87	93241.0	0.21	43857.0	0.1
DEBY_4.F	27459884.0	26594192.0	96.85	793690.0	2.89	57771.0	0.21	14231.0	0.05
DEBY_5.F	33456115.0	32233110.0	96.34	1136311.0	3.4	67260.0	0.2	19434.0	0.06
DEBY_6.F	34697696.0	33569942.0	96.75	1037508.0	2.99	72136.0	0.21	18110.0	0.05
HC_1.F	38646818.0	37201303.0	96.26	1340954.0	3.47	77220.0	0.2	27341.0	0.07
HC_3.F	31556239.0	30260134.0	95.89	1217928.0	3.86	60846.0	0.19	17331.0	0.05
HC_4.F	39877222.0	38367973.0	96.22	1407269.0	3.53	78568.0	0.2	23412.0	0.06
HC_5.F	45016816.0	43583073.0	96.82	1322900.0	2.94	91945.0	0.2	18898.0	0.04
HC_6.F	28024130.0	26975069.0	96.26	977607.0	3.49	55083.0	0.2	16371.0	0.06
HC_7.F	77299611.0	74697989.0	96.63	2392564.0	3.1	161938.0	0.21	47120.0	0.06
HC_VA_1.F	42970224.0	41730579.0	97.12	1131998.0	2.63	88786.0	0.21	18861.0	0.04
HC_VA_2.F	41451075.0	40192102.0	96.96	1153322.0	2.78	88202.0	0.21	17449.0	0.04
HC_VA_3.F	31945464.0	30987782.0	97.0	883963.0	2.77	63290.0	0.2	10429.0	0.03
HC_VA_4.F	34803290.0	33072289.0	95.03	1648609.0	4.74	67617.0	0.19	14775.0	0.04
