X,Sample.ID,Region,Ecotype,Wild.Sel,Pop,Lat,Long,Temp,Sal,Pop.ID,Sample.ID.1,Length,Sex,NOTES,wildNtoS,custom.id,color,plot.id,vcfInd,ApproxLat,ApproxLong
36,HI_1,Maine,High,W,Hog Island,44.00798,-69.5383466666667,24.6,28,HI,1,82,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL - ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,40,NA,NA
37,HI_2,Maine,High,W,Hog Island,44.00798,-69.5383466666667,24.6,28,HI,2,79,F,ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,41,NA,NA
38,HI_3,Maine,High,W,Hog Island,44.00798,-69.5383466666667,24.6,28,HI,3,90,M,ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,42,NA,NA
39,HI_4,Maine,High,W,Hog Island,44.00798,-69.5383466666667,24.6,28,HI,4,79,M,ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,43,NA,NA
40,HI_5,Maine,High,W,Hog Island,44.00798,-69.5383466666667,24.6,28,HI,5,75,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL - ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,44,NA,NA
41,HI_6,Maine,High,W,Hog Island,44.00798,-69.5383466666667,24.6,28,HI,6,94,M,ave based on WQ043,1,01_Maine_HI,#8ccd99,Maine_HI,45,NA,NA
30,SM_7,Maine,Low,W,Sherman Marsh,44.0084933333333,-69.59033,NA,NA,SM,7,117,M,NA,2,02_Maine_SM,#77c442,Maine_SM,82,NA,NA
31,SM_8,Maine,Low,W,Sherman Marsh,44.0084933333333,-69.59033,NA,NA,SM,8,83,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL,2,02_Maine_SM,#77c442,Maine_SM,83,NA,NA
32,SM_9,Maine,Low,W,Sherman Marsh,44.0084933333333,-69.59033,NA,NA,SM,9,147,M,NA,2,02_Maine_SM,#77c442,Maine_SM,84,NA,NA
33,SM_10,Maine,Low,W,Sherman Marsh,44.0084933333333,-69.59033,NA,NA,SM,10,143,F,NOT A LOT OF EGGS,2,02_Maine_SM,#77c442,Maine_SM,79,NA,NA
34,SM_11,Maine,Low,W,Sherman Marsh,44.0084933333333,-69.59033,NA,NA,SM,11,223,F,NOT A LOT OF EGGS,2,02_Maine_SM,#77c442,Maine_SM,80,NA,NA
35,SM_12,Maine,Low,W,Sherman Marsh,44.0084933333333,-69.59033,NA,NA,SM,12,155,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL,2,02_Maine_SM,#77c442,Maine_SM,81,NA,NA
