custom.id,Plot_order,Plot_name,Pop_Descrip,Type,Plot_color,Plot_pch
01_Maine_HI,1,ME-HSHI, (Slighly higher salinity - from Hog Island),wild,#8ccd99,
02_Maine_SM,2,ME-LSSM,(Low salinity Sherman Marsh ) ,wild,#77c442,
04_DelBay_CS,3,DB-HSCS,(Cape Shore),wild,#0d9312,
03_DelBay_HC,4,DB-LSHC,(Hope Creek),wild,#6ee078,
06_ChesBay_HC_VA,5,CB-HSHC,(Hummock Cove),wild,#105d1f,
05_ChesBay_CLP,6,CB-LSCP,(ChloraÍs Point),wild,#167729,
08_Louisiana_CL,7,LA-HSCL,(Calcasiue Lake),wild,#8d8072,
07_Louisiana_SL,8,LA-LSSL,(Sister Lake),wild,#5d4a36,
09_Mexico_LM,9,TX-HSLM,(Laguna Madre),wild,#FF00FF,
13_Maine_Sel_UMFS,10,ME-UMFS,,selected,#76b6c4,
14_DelBay_Sel_NEH,11,DB-NEHD, (kept at Cape Shore HS),selected,#7fcdff,
19_Inbred_RU_HG,12,DB-NEHG, (gynogen),inbred,#ff1818,
19_Inbred_RU_NG,13,DB-NEHS, (selfing),inbred,#9c0000,
15_Ches_Sel_DEBY,14,CB-DEBY,"(kept at York River, HS)",selected,#064273,
15_Ches_Sel_LOLA,15,CB-LOLA,(kept at a low salinity site),selected,#698dab,
18_Louisiana_Sel,16,LA-OBOY,(kept at Calcasieu Lake HS),selected,#1da2d8,
