custom.id,Plot_order,Plot_name,Pop_Descrip,Type,Plot_color,Plot_pch
01_Maine_HI,1,ME-HSHI,(Slighly higher salinity - from Hog Island),wild,#fbb4b9,17
02_Maine_SM,2,ME-LSSM,(Low salinity Sherman Marsh )Ê,wild,#7a0177,17
04_DelBay_CS,3,DB-HSCS,(Cape Shore),wild,#08519c,17
03_DelBay_HC,4,DB-LSHC,(Hope Creek),wild,skyblue,17
06_ChesBay_HC_VA,5,CB-HSHC,(Hummock Cove),wild,#31a354,17
05_ChesBay_CLP,6,CB-LSCP,(Chloraês Point),wild,#a6d854,17
08_Louisiana_CL,7,LA-HSCL,(Calcasiue Lake),wild,#a63603,17
07_Louisiana_SL,8,LA-LSSL,(Sister Lake),wild,#fdae6b,17
09_Mexico_LM,9,TX-HSLM,(Laguna Madre),wild,black,17
13_Maine_Sel_UMFS,10,ME-UMFS,,selected,#f768a1,16
14_DelBay_Sel_NEH,11,DB-NEHD,(kept at Cape Shore HS),selected,#9e9ac8,16
19_Inbred_RU_HG,12,DB-NEHG,(gynogen),inbred,#6a51a3,13
19_Inbred_RU_NG,13,DB-NEHS,(selfing),inbred,#dadaeb,13
15_Ches_Sel_DEBY,14,CB-DEBY,"(kept at York River, HS)",selected,#006d2c,16
15_Ches_Sel_LOLA,15,CB-LOLA,(kept at a low salinity site),selected,#bae4b3,16
18_Louisiana_Sel,16,LA-OBOY,(kept at Calcasieu Lake HS),selected,#fd8d3c,16
