,X,Sample.ID,vcf_ID,vcf_order,Region,Ecotype,Wild.Sel,Pop,Temp,Sal,Pop.ID,Sample.ID.1,Length,Sex,NOTES,wildNtoS,custom.id,color,plot.id,atlantic.wild.subset,atlantic.selection.subset,exclude.LM,unrelated,envi.assoc
1,48,CL_1,CL_1,1,Louisiana,NA,W,Calcasieu Lake,NA,NA,CL,1,132,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,0,0,1,1,1
2,49,CL_2,CL_2,2,Louisiana,NA,W,Calcasieu Lake,NA,NA,CL,2,116,M,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,0,0,1,1,1
3,50,CL_3,CL_3,3,Louisiana,NA,W,Calcasieu Lake,NA,NA,CL,3,112,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,0,0,1,1,1
4,51,CL_4,CL_4,4,Louisiana,NA,W,Calcasieu Lake,NA,NA,CL,4,106,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,0,0,1,1,1
5,52,CL_5,CL_5,5,Louisiana,NA,W,Calcasieu Lake,NA,NA,CL,5,121,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,0,0,1,1,1
6,53,CL_6,CL_6,6,Louisiana,NA,W,Calcasieu Lake,NA,NA,CL,6,103,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,0,0,1,1,1
7,72,CLP_1,CLP_1,7,Chesapeake Bay,Low,W,Chlora's Point,21.4,12.2,CLP,1,122,F,NA,5,05_ChesBay_CLP,#167729,ChesBay_CLP,1,0,1,1,1
8,73,CLP_2,CLP_2,8,Chesapeake Bay,Low,W,Chlora's Point,21.4,12.2,CLP,2,104,NA,NA,5,05_ChesBay_CLP,#167729,ChesBay_CLP,1,0,1,1,1
9,74,CLP_3,CLP_3,9,Chesapeake Bay,Low,W,Chlora's Point,21.4,12.2,CLP,3,105,NA,NA,5,05_ChesBay_CLP,#167729,ChesBay_CLP,1,0,1,1,1
10,75,CLP_4,CLP_4,10,Chesapeake Bay,Low,W,Chlora's Point,21.4,12.2,CLP,4,113,NA,polydora,5,05_ChesBay_CLP,#167729,ChesBay_CLP,1,0,1,1,1
11,76,CLP_5,CLP_5,11,Chesapeake Bay,Low,W,Chlora's Point,21.4,12.2,CLP,5,100,NA,NA,5,05_ChesBay_CLP,#167729,ChesBay_CLP,1,0,1,1,1
12,77,CLP_6,CLP_6,12,Chesapeake Bay,Low,W,Chlora's Point,21.4,12.2,CLP,6,102,NA,NA,5,05_ChesBay_CLP,#167729,ChesBay_CLP,1,0,1,1,1
13,12,CS_1,CS_1,13,DelBay,High,W,Cape Shore,NA,18-20,CS,1,76,M,NA,4,04_DelBay_CS,#0d9312,DelBay_CS,1,0,1,1,1
14,13,CS_2,CS_2,14,DelBay,High,W,Cape Shore,NA,18-20,CS,2,84,M,NA,4,04_DelBay_CS,#0d9312,DelBay_CS,1,0,1,1,1
15,14,CS_3,CS_3,15,DelBay,High,W,Cape Shore,NA,18-20,CS,3,94,M,NA,4,04_DelBay_CS,#0d9312,DelBay_CS,1,0,1,1,1
16,15,CS_5,CS_5,16,DelBay,High,W,Cape Shore,NA,18-20,CS,5,68,M,NA,4,04_DelBay_CS,#0d9312,DelBay_CS,1,0,1,1,1
17,16,CS_6,CS_6,17,DelBay,High,W,Cape Shore,NA,18-20,CS,6,67,M,NA,4,04_DelBay_CS,#0d9312,DelBay_CS,1,0,1,1,1
18,17,CS_7,CS_7,18,DelBay,High,W,Cape Shore,NA,18-20,CS,7,71,F,NA,4,04_DelBay_CS,#0d9312,DelBay_CS,1,0,1,1,1
19,60,DEBY_1,DEBY_1,19,Chesapeake Bay,High,S,DEBY,NA,NA,DEBY,1,99,F,polydora in shell,NA,15_Ches_Sel_DEBY,#064273,Ches_Sel_DEBY,0,1,1,1,0
20,61,DEBY_2,DEBY_2,20,Chesapeake Bay,High,S,DEBY,NA,NA,DEBY,2,100,NA,polydora in shell,NA,15_Ches_Sel_DEBY,#064273,Ches_Sel_DEBY,0,1,1,1,0
21,62,DEBY_3,DEBY_3,21,Chesapeake Bay,High,S,DEBY,NA,NA,DEBY,3,118,F,polydora in shell,NA,15_Ches_Sel_DEBY,#064273,Ches_Sel_DEBY,0,1,1,1,0
22,63,DEBY_4,DEBY_4,22,Chesapeake Bay,High,S,DEBY,NA,NA,DEBY,4,115,NA,polydora in shell,NA,15_Ches_Sel_DEBY,#064273,Ches_Sel_DEBY,0,1,1,1,0
23,64,DEBY_5,DEBY_5,23,Chesapeake Bay,High,S,DEBY,NA,NA,DEBY,5,85,NA,polydora in shell,NA,15_Ches_Sel_DEBY,#064273,Ches_Sel_DEBY,0,1,1,1,0
24,65,DEBY_6,DEBY_6,24,Chesapeake Bay,High,S,DEBY,NA,NA,DEBY,6,79,NA,polydora in shell,NA,15_Ches_Sel_DEBY,#064273,Ches_Sel_DEBY,0,1,1,1,0
25,6,HC_1,HC_1,25,DelBay,Low,W,Hope Creek,23.7,11.1,HC,1,55,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC,#6ee078,DelBay_HC,1,0,1,1,1
26,7,HC_3,HC_3,26,DelBay,Low,W,Hope Creek,23.7,11.1,HC,3,58,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC,#6ee078,DelBay_HC,1,0,1,1,1
27,8,HC_4,HC_4,27,DelBay,Low,W,Hope Creek,23.7,11.1,HC,4,62,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC,#6ee078,DelBay_HC,1,0,1,1,1
28,9,HC_5,HC_5,28,DelBay,Low,W,Hope Creek,23.7,11.1,HC,5,51,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC,#6ee078,DelBay_HC,1,0,1,1,1
29,10,HC_6,HC_6,29,DelBay,Low,W,Hope Creek,23.7,11.1,HC,6,71,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC,#6ee078,DelBay_HC,1,0,1,1,1
30,11,HC_7,HC_7,30,DelBay,Low,W,Hope Creek,23.7,11.1,HC,7,80,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC,#6ee078,DelBay_HC,1,0,1,1,1
31,78,HC_VA_1,HC_VA_1,31,Chesapeake Bay,High,W,Hummock Cove,NA,NA,HC_VA,1,52,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,1,0,1,1,1
32,79,HC_VA_2,HC_VA_2,32,Chesapeake Bay,High,W,Hummock Cove,NA,NA,HC_VA,2,48,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,1,0,1,1,1
