,Sample.ID,Region,Ecotype,Wild.Sel,Pop,Lat,Long,Temp,Sal,Pop.ID,Sample.ID.1,Length,Sex,NOTES,wildNtoS,custom.id
1,LM_1,Mexico,High,W,Laguna Madre," 26ŒÁ33'32.00""N"," 97ŒÁ21'54.00""W",28.9,26,LM,1,97,F,NA,9,09_Mexico_LM
2,LM_3,Mexico,High,W,Laguna Madre," 26ŒÁ33'32.00""N"," 97ŒÁ21'54.00""W",28.9,26,LM,3,93,M,NA,9,09_Mexico_LM
3,LM_4,Mexico,High,W,Laguna Madre," 26ŒÁ33'32.00""N"," 97ŒÁ21'54.00""W",28.9,26,LM,4,69,F,NA,9,09_Mexico_LM
4,LM_7,Mexico,High,W,Laguna Madre," 26ŒÁ33'32.00""N"," 97ŒÁ21'54.00""W",28.9,26,LM,7,75,M,NA,9,09_Mexico_LM
5,LM_8,Mexico,High,W,Laguna Madre," 26ŒÁ33'32.00""N"," 97ŒÁ21'54.00""W",28.9,26,LM,8,96,F,NA,9,09_Mexico_LM
6,HC_1,DelBay,Low,W,Hope Creek," 39ŒÁ26'30.00""N"," 75ŒÁ31'6.00""W",23.7,11.1,HC,1,55,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC
7,HC_3,DelBay,Low,W,Hope Creek," 39ŒÁ26'30.00""N"," 75ŒÁ31'6.00""W",23.7,11.1,HC,3,58,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC
8,HC_4,DelBay,Low,W,Hope Creek," 39ŒÁ26'30.00""N"," 75ŒÁ31'6.00""W",23.7,11.1,HC,4,62,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC
9,HC_5,DelBay,Low,W,Hope Creek," 39ŒÁ26'30.00""N"," 75ŒÁ31'6.00""W",23.7,11.1,HC,5,51,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC
10,HC_6,DelBay,Low,W,Hope Creek," 39ŒÁ26'30.00""N"," 75ŒÁ31'6.00""W",23.7,11.1,HC,6,71,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC
11,HC_7,DelBay,Low,W,Hope Creek," 39ŒÁ26'30.00""N"," 75ŒÁ31'6.00""W",23.7,11.1,HC,7,80,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC
12,CS_1,DelBay,High,W,Cape Shore,NA,NA,NA,18-20,CS,1,76,M,NA,4,04_DelBay_CS
13,CS_2,DelBay,High,W,Cape Shore,NA,NA,NA,18-20,CS,2,84,M,NA,4,04_DelBay_CS
14,CS_3,DelBay,High,W,Cape Shore,NA,NA,NA,18-20,CS,3,94,M,NA,4,04_DelBay_CS
15,CS_5,DelBay,High,W,Cape Shore,NA,NA,NA,18-20,CS,5,68,M,NA,4,04_DelBay_CS
16,CS_6,DelBay,High,W,Cape Shore,NA,NA,NA,18-20,CS,6,67,M,NA,4,04_DelBay_CS
17,CS_7,DelBay,High,W,Cape Shore,NA,NA,NA,18-20,CS,7,71,F,NA,4,04_DelBay_CS
18,NEH_1,DelBay,Selected,S,NEH93,NA,NA,NA,NA,NEH,1,80,M,NA,NA,14_DelBay_Sel_NEH
19,NEH_2,DelBay,Selected,S,NEH93,NA,NA,NA,NA,NEH,2,73,NA,no gonadal material,NA,14_DelBay_Sel_NEH
20,NEH_3,DelBay,Selected,S,NEH93,NA,NA,NA,NA,NEH,3,68,F,NA,NA,14_DelBay_Sel_NEH
21,NEH_4,DelBay,Selected,S,NEH93,NA,NA,NA,NA,NEH,4,72,M,NA,NA,14_DelBay_Sel_NEH
22,NEH_5,DelBay,Selected,S,NEH93,NA,NA,NA,NA,NEH,5,72,NA,no gonadal material,NA,14_DelBay_Sel_NEH
23,NEH_6,DelBay,Selected,S,NEH93,NA,NA,NA,NA,NEH,6,72,M?,NA,NA,14_DelBay_Sel_NEH
24,UMFS_1,Maine,Selected,S,UMFS,NA,NA,NA,NA,UMFS,1,114,M,NA,NA,15_Maine_Sel_UMFS
25,UMFS_2,Maine,Selected,S,UMFS,NA,NA,NA,NA,UMFS,2,111,M,NA,NA,15_Maine_Sel_UMFS
26,UMFS_3,Maine,Selected,S,UMFS,NA,NA,NA,NA,UMFS,3,104,F,NA,NA,15_Maine_Sel_UMFS
27,UMFS_4,Maine,Selected,S,UMFS,NA,NA,NA,NA,UMFS,4,146,M,NA,NA,15_Maine_Sel_UMFS
28,UMFS_5,Maine,Selected,S,UMFS,NA,NA,NA,NA,UMFS,5,116,M,NA,NA,15_Maine_Sel_UMFS
29,UMFS_6,Maine,Selected,S,UMFS,NA,NA,NA,NA,UMFS,6,126,F,NA,NA,15_Maine_Sel_UMFS
30,SM_7,Maine,Low,W,Sherman Marsh," 44ŒÁ 0'50.96"""," 69ŒÁ35'41.98""W",NA,NA,SM,7,117,M,NA,2,02_Maine_SM
31,SM_8,Maine,Low,W,Sherman Marsh," 44ŒÁ 0'50.96"""," 69ŒÁ35'41.98""W",NA,NA,SM,8,83,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL,2,02_Maine_SM
32,SM_9,Maine,Low,W,Sherman Marsh," 44ŒÁ 0'50.96"""," 69ŒÁ35'41.98""W",NA,NA,SM,9,147,M,NA,2,02_Maine_SM
33,SM_10,Maine,Low,W,Sherman Marsh," 44ŒÁ 0'50.96"""," 69ŒÁ35'41.98""W",NA,NA,SM,10,143,F,NOT A LOT OF EGGS,2,02_Maine_SM
34,SM_11,Maine,Low,W,Sherman Marsh," 44ŒÁ 0'50.96"""," 69ŒÁ35'41.98""W",NA,NA,SM,11,223,F,NOT A LOT OF EGGS,2,02_Maine_SM
35,SM_12,Maine,Low,W,Sherman Marsh," 44ŒÁ 0'50.96"""," 69ŒÁ35'41.98""W",NA,NA,SM,12,155,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL,2,02_Maine_SM
36,HI_1,Maine,High,W,Hog Island,"44 00' 47.88"" N ","69 32' 30.08"" W",24.6,28,HI,1,82,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL - ave based on WQ043,1,01_Maine_HI
37,HI_2,Maine,High,W,Hog Island,"44 00' 47.88"" N ","69 32' 30.08"" W",24.6,28,HI,2,79,F,ave based on WQ043,1,01_Maine_HI
38,HI_3,Maine,High,W,Hog Island,"44 00' 47.88"" N ","69 32' 30.08"" W",24.6,28,HI,3,90,M,ave based on WQ043,1,01_Maine_HI
39,HI_4,Maine,High,W,Hog Island,"44 00' 47.88"" N ","69 32' 30.08"" W",24.6,28,HI,4,79,M,ave based on WQ043,1,01_Maine_HI
40,HI_5,Maine,High,W,Hog Island,"44 00' 47.88"" N ","69 32' 30.08"" W",24.6,28,HI,5,75,M?,HARD TO SEX - NOT A LOT OF GONADAL MATERIAL - ave based on WQ043,1,01_Maine_HI
41,HI_6,Maine,High,W,Hog Island,"44 00' 47.88"" N ","69 32' 30.08"" W",24.6,28,HI,6,94,M,ave based on WQ043,1,01_Maine_HI
42,SL_1,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,1,118,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL
43,SL_2,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,2,160,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL
44,SL_3,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,3,128,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL
45,SL_4,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,4,110,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL
46,SL_5,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,5,112,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL
47,SL_6,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,6,122,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL
48,CL_1,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,1,132,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL
49,CL_2,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,2,116,M,a lot of polydora in shell - very ripe,8,08_Louisiana_CL
50,CL_3,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,3,112,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL
51,CL_4,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,4,106,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL
52,CL_5,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,5,121,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL
53,CL_6,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,6,103,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL
54,OBOYS2_1,Louisiana,Selected,S,OBOYS2,NA,NA,NA,NA,OBOYS2,1,130,F,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel
55,OBOYS2_2,Louisiana,Selected,S,OBOYS2,NA,NA,NA,NA,OBOYS2,2,150,F,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel
56,OBOYS2_3,Louisiana,Selected,S,OBOYS2,NA,NA,NA,NA,OBOYS2,3,122,M,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel
57,OBOYS2_4,Louisiana,Selected,S,OBOYS2,NA,NA,NA,NA,OBOYS2,4,127,M,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel
58,OBOYS2_5,Louisiana,Selected,S,OBOYS2,NA,NA,NA,NA,OBOYS2,5,144,F,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel
59,OBOYS2_6,Louisiana,Selected,S,OBOYS2,NA,NA,NA,NA,OBOYS2,6,128,F,polydora in shell -  meats dry not a lot of hemolymph - very hard to shuck,NA,18_Louisiana_Sel
60,DEBY_1,Chesapeake Bay,High,S,DEBY,NA,NA,NA,NA,DEBY,1,99,F,polydora in shell,NA,15_Chesapeake_Sel_DEBY
61,DEBY_2,Chesapeake Bay,High,S,DEBY,NA,NA,NA,NA,DEBY,2,100,NA,polydora in shell,NA,15_Chesapeake_Sel_DEBY
62,DEBY_3,Chesapeake Bay,High,S,DEBY,NA,NA,NA,NA,DEBY,3,118,F,polydora in shell,NA,15_Chesapeake_Sel_DEBY
63,DEBY_4,Chesapeake Bay,High,S,DEBY,NA,NA,NA,NA,DEBY,4,115,NA,polydora in shell,NA,15_Chesapeake_Sel_DEBY
64,DEBY_5,Chesapeake Bay,High,S,DEBY,NA,NA,NA,NA,DEBY,5,85,NA,polydora in shell,NA,15_Chesapeake_Sel_DEBY
65,DEBY_6,Chesapeake Bay,High,S,DEBY,NA,NA,NA,NA,DEBY,6,79,NA,polydora in shell,NA,15_Chesapeake_Sel_DEBY
66,LOLA_1,Chesapeake Bay,Low,S,LOLA,NA,NA,NA,NA,LOLA,1,102,NA,VERY THIN - polydora,NA,16_Chesapeake_Sel_LOLA
67,LOLA_2,Chesapeake Bay,Low,S,LOLA,NA,NA,NA,NA,LOLA,2,90,M,polydora,NA,16_Chesapeake_Sel_LOLA
68,LOLA_3,Chesapeake Bay,Low,S,LOLA,NA,NA,NA,NA,LOLA,3,100,NA,polydora,NA,16_Chesapeake_Sel_LOLA
69,LOLA_4,Chesapeake Bay,Low,S,LOLA,NA,NA,NA,NA,LOLA,4,99,F,polydora,NA,16_Chesapeake_Sel_LOLA
70,LOLA_5,Chesapeake Bay,Low,S,LOLA,NA,NA,NA,NA,LOLA,5,83,M,polydora,NA,16_Chesapeake_Sel_LOLA
71,LOLA_6,Chesapeake Bay,Low,S,LOLA,NA,NA,NA,NA,LOLA,6,95,F,polydora,NA,16_Chesapeake_Sel_LOLA
72,CLP_1,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,1,122,F,NA,5,05_Chesapeake Bay_CLP
73,CLP_2,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,2,104,NA,NA,5,05_Chesapeake Bay_CLP
74,CLP_3,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,3,105,NA,NA,5,05_Chesapeake Bay_CLP
75,CLP_4,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,4,113,NA,polydora,5,05_Chesapeake Bay_CLP
76,CLP_5,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,5,100,NA,NA,5,05_Chesapeake Bay_CLP
77,CLP_6,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,6,102,NA,NA,5,05_Chesapeake Bay_CLP
78,HC_VA_1,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,1,52,NA,too small to sex,6,06_Chesapeake Bay_HC_VA
79,HC_VA_2,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,2,48,NA,too small to sex,6,06_Chesapeake Bay_HC_VA
80,HC_VA_3,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,3,42,NA,too small to sex,6,06_Chesapeake Bay_HC_VA
81,HC_VA_4,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,4,60,NA,too small to sex,6,06_Chesapeake Bay_HC_VA
82,HC_VA_5,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,5,48,NA,too small to sex,6,06_Chesapeake Bay_HC_VA
83,HC_VA_6,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,6,52,NA,too small to sex,6,06_Chesapeake Bay_HC_VA
84,HG_HG0F2,RU Inbred,NA,I,RU Inbred,NA,NA,NA,NA,HG,HG0F2,NA,F,parent - female,NA,19_Inbred_RU_HG
85,HG_HG2F1,RU Inbred,NA,I,RU Inbred,NA,NA,NA,NA,HG,HG2F1,NA,F,gynogenetic progeny - female,NA,19_Inbred_RU_HG
86,HG_HG2M5,RU Inbred,NA,I,RU Inbred,NA,NA,NA,NA,HG,HG2M5,NA,M,gynogenetic progeny - male,NA,19_Inbred_RU_HG
87,NG_NH0H4,RU Inbred,NA,I,RU Inbred,NA,NA,NA,NA,NG,NH0H4,NA,NA,parent - female,NA,19_Inbred_RU_HG
88,NG_NH2F6,RU Inbred,NA,I,RU Inbred,NA,NA,NA,NA,NG,NH2F6,NA,F,selfing progeny - female,NA,19_Inbred_RU_NG
89,NG_NH2F8,RU Inbred,NA,I,RU Inbred,NA,NA,NA,NA,NG,NH2F8,NA,F,selfing progeny - female,NA,19_Inbred_RU_NG
90,NG_NH2M1,RU Inbred,NA,I,RU Inbred,NA,NA,NA,NA,NG,NH2M1,NA,M,selfing progeny - male,NA,19_Inbred_RU_NG
