CHR,POS1,POS2,N_INDV,R^2
NC_035780.1,6032973,6037973,90,0.394979
NC_035780.1,6077236,6082236,90,0.0226244
NC_035780.1,6081827,6086827,90,0.0509225
NC_035780.1,6097784,6102784,90,0.00294827
NC_035780.1,6102368,6107368,90,0.376632
NC_035780.1,6109347,6114347,90,0.173556
NC_035780.1,6109483,6114483,90,0.163678
NC_035780.1,6109589,6114589,90,0.311991
NC_035780.1,6126058,6131058,90,0.380171
NC_035780.1,6126589,6131589,90,0.000160846
NC_035780.1,6126622,6131622,90,0.110017
NC_035780.1,6126731,6131731,90,0.00404834
NC_035780.1,6127749,6132749,90,0.0766788
NC_035780.1,6132896,6137896,90,0.038511
NC_035780.1,6133181,6138181,90,0.213135
NC_035780.1,6147869,6152869,90,0.262531
NC_035780.1,6231785,6236785,90,0.862982
NC_035780.1,6232459,6237459,90,0.00786976
NC_035780.1,6236785,6241785,90,0.0598122
NC_035780.1,6331516,6336516,90,0.0366387
NC_035780.1,6334239,6339239,90,0.106222
NC_035780.1,6334265,6339265,90,0.0123616
NC_035780.1,6336053,6341053,90,0.00020365
NC_035780.1,6336406,6341406,90,0.183872
NC_035780.1,6336516,6341516,90,0.149404
NC_035780.1,6338137,6343137,90,0.173627
NC_035780.1,6338401,6343401,90,0.100327
NC_035780.1,6338407,6343407,90,0.185446
NC_035780.1,6338530,6343530,90,0.000869192
NC_035780.1,6338536,6343536,90,0.0115599
NC_035780.1,6340503,6345503,90,0.0568609
NC_035780.1,6342930,6347930,90,0.0848806
NC_035780.1,6343145,6348145,90,0.00422297
NC_035780.1,6344996,6349996,90,0.011968
NC_035780.1,6347565,6352565,90,0.071162
NC_035780.1,6348674,6353674,90,0.327835
NC_035780.1,6350834,6355834,90,0.0250604
NC_035780.1,6354318,6359318,90,0.443514
NC_035780.1,6354321,6359321,90,0.0758627
NC_035780.1,6354344,6359344,90,0.02381
NC_035780.1,6357538,6362538,90,0.137175
NC_035780.1,6361954,6366954,90,0.204323
NC_035780.1,6364647,6369647,90,0.079838
NC_035780.1,6364654,6369654,90,0.261545
NC_035780.1,6364886,6369886,90,0.0487746
NC_035780.1,6368806,6373806,90,0.184949
NC_035780.1,6368935,6373935,90,0.0125374
NC_035780.1,6373593,6378593,90,0.00846362
NC_035780.1,6383709,6388709,90,0.0617686
NC_035780.1,6393347,6398347,90,0.155304
NC_035780.1,6393350,6398350,90,0.0290393
NC_035780.1,6393406,6398406,90,0.0575021
NC_035780.1,6393432,6398432,90,0.00459011
NC_035780.1,6393931,6398931,90,0.00748774
NC_035780.1,6396196,6401196,90,0.0140397
NC_035780.1,6400635,6405635,90,0.000362909
NC_035780.1,6401496,6406496,90,0.00340611
NC_035780.1,6415037,6420037,90,0.207748
NC_035780.1,6418935,6423935,90,0.00862069
NC_035780.1,6429673,6434673,90,0.00621118
NC_035780.1,6438010,6443010,90,0.0220152
NC_035780.1,6441648,6446648,90,0.00683474
NC_035780.1,6445021,6450021,90,0.0107894
NC_035780.1,6457743,6462743,90,0.0339253
NC_035780.1,6462101,6467101,90,0.135634
NC_035780.1,6463810,6468810,90,0.0332522
NC_035780.1,6463844,6468844,90,0.130968
NC_035780.1,6467175,6472175,90,0.0173131
NC_035780.1,6467193,6472193,90,0.29342
NC_035780.1,6467413,6472413,90,0.0445491
NC_035780.1,6468389,6473389,90,0.0330177
NC_035780.1,6468523,6473523,90,0.396427
NC_035780.1,6468806,6473806,90,0.0367686
NC_035780.1,6469996,6474996,90,0.149892
NC_035780.1,6470662,6475662,90,0.00386315
NC_035780.1,6472945,6477945,90,0.324453
NC_035780.1,6473095,6478095,90,0.108975
NC_035780.1,6473820,6478820,90,0.00413149
NC_035780.1,6474999,6479999,90,0.053315
NC_035780.1,6475000,6480000,90,0.0636949
NC_035780.1,6475821,6480821,90,0.00643551
NC_035780.1,6475872,6480872,90,0.0137599
NC_035780.1,6475882,6480882,90,0.0455945
NC_035780.1,6476166,6481166,90,0.0286503
NC_035780.1,6479523,6484523,90,0.0669739
NC_035780.1,6479733,6484733,90,0.00263228
NC_035780.1,6480832,6485832,90,0.0229388
NC_035780.1,6488239,6493239,90,0.0732519
NC_035780.1,6488669,6493669,90,0.0784409
NC_035780.1,6489849,6494849,90,0.000426
NC_035780.1,6512253,6517253,90,0.0644327
NC_035780.1,6512255,6517255,90,0.265851
NC_035780.1,6513029,6518029,90,0.118967
NC_035780.1,6514812,6519812,90,0.0173397
NC_035780.1,6517018,6522018,90,0.00566692
NC_035780.1,6517707,6522707,90,0.06333
NC_035780.1,6517995,6522995,90,0.0141988
NC_035780.1,6519146,6524146,90,0.0106227
NC_035780.1,6520043,6525043,90,9.72E-05
NC_035780.1,6525567,6530567,90,0.0647088
NC_035780.1,6525762,6530762,90,0.0465069
NC_035780.1,6525844,6530844,90,0.0137091
NC_035780.1,6531778,6536778,90,0.00589066
NC_035780.1,6531781,6536781,90,0.103604
NC_035780.1,6532503,6537503,90,0.049879
NC_035780.1,6532921,6537921,90,0.00381316
NC_035780.1,6535703,6540703,90,0.000582107
NC_035780.1,6536755,6541755,90,0.0575408
NC_035780.1,6536778,6541778,90,0.0310289
NC_035780.1,6537593,6542593,90,0.0110824
NC_035780.1,6539041,6544041,90,0.178331
NC_035780.1,6539180,6544180,90,0.00515904
NC_035780.1,6569686,6574686,90,0.00674569
NC_035780.1,6570188,6575188,90,0.00620642
NC_035780.1,6571042,6576042,90,0.111562
NC_035780.1,6572242,6577242,90,0.0325497
NC_035780.1,6572257,6577257,90,0.0177096
NC_035780.1,6573152,6578152,90,0.00359106
NC_035780.1,6577257,6582257,90,0.0199238
NC_035780.1,6577666,6582666,90,0.0015674
NC_035780.1,6579586,6584586,90,0.243103
NC_035780.1,6582726,6587726,90,0.228497
NC_035780.1,6583846,6588846,90,0.0165306
NC_035780.1,6584000,6589000,90,0.485766
NC_035780.1,6584016,6589016,90,0.270014
NC_035780.1,6585008,6590008,90,0.00203982
NC_035780.1,6585071,6590071,90,0.0176966
NC_035780.1,6586652,6591652,90,0.196364
NC_035780.1,6591466,6596466,90,0.0106991
NC_035780.1,6591914,6596914,90,0.246253
NC_035780.1,6592954,6597954,90,0.0131665
NC_035780.1,6593720,6598720,90,0.0175932
NC_035780.1,6593730,6598730,90,0.000981162
NC_035780.1,6596636,6601636,90,0.106854
NC_035780.1,6597328,6602328,90,0.037019
NC_035780.1,6600258,6605258,90,0.00668783
NC_035780.1,6600655,6605655,90,0.00957278
NC_035780.1,6607873,6612873,90,0.541554
NC_035780.1,6607996,6612996,90,0.000211149
NC_035780.1,6609432,6614432,90,0.0200622
NC_035780.1,6609495,6614495,90,0.0955637
NC_035780.1,6610385,6615385,90,0.5674
NC_035780.1,6610425,6615425,90,0.174211
NC_035780.1,6611540,6616540,90,0.00115737
NC_035780.1,6612009,6617009,90,0.121763
NC_035780.1,6613814,6618814,90,0.000495878
NC_035780.1,6613843,6618843,90,0.130101
NC_035780.1,6613936,6618936,90,0.0348858
NC_035780.1,6614120,6619120,90,0.0520618
NC_035780.1,6614228,6619228,90,0.0331477
NC_035780.1,6614582,6619582,90,0.0384768
NC_035780.1,6614689,6619689,90,0.00761965
NC_035780.1,6619228,6624228,90,0.0590504
NC_035780.1,6619245,6624245,90,0.028473
NC_035780.1,6620259,6625259,90,0.0058862
NC_035780.1,6621446,6626446,90,0.0480902
NC_035780.1,7041111,7046111,90,0.00721298
NC_035780.1,7041454,7046454,90,6.53E-05
NC_035780.1,7060693,7065693,90,0.072338
NC_035780.1,7060763,7065763,90,0.000946568
NC_035780.1,7072007,7077007,90,0.0175884
NC_035780.1,7092141,7097141,90,0.0151383
NC_035780.1,7093584,7098584,90,0.273207
NC_035780.1,7099016,7104016,90,0.000275028
NC_035780.1,7099209,7104209,90,0.0495202
NC_035780.1,7099228,7104228,90,0.00751186
NC_035780.1,7104178,7109178,90,0.00340832
NC_035780.1,7104281,7109281,90,0.0460256
NC_035780.1,7104633,7109633,90,0.0121661
NC_035780.1,7119650,7124650,90,0.0192006
NC_035780.1,7126054,7131054,90,0.00639163
NC_035780.1,7128520,7133520,90,0.0931425
NC_035780.1,7128614,7133614,90,0.0941368
NC_035780.1,7152505,7157505,90,0.00293255
NC_035780.1,7152532,7157532,90,0.0208245
NC_035780.1,7156232,7161232,90,0.0250788
NC_035780.1,7158546,7163546,90,0.0625831
NC_035780.1,7174029,7179029,90,0.00309962
NC_035780.1,7174906,7179906,90,0.0453429
NC_035780.1,7184837,7189837,90,0.00951749
NC_035780.1,7187416,7192416,90,0.0349581
NC_035780.1,7190530,7195530,90,0.0676796
NC_035780.1,7192336,7197336,90,0.310006
NC_035780.1,7195625,7200625,90,0.000152416
NC_035780.1,7198193,7203193,90,0.027993
NC_035780.1,7199516,7204516,90,0.04679
NC_035780.1,7204559,7209559,90,0.0483369
NC_035780.1,7204784,7209784,90,0.0262284
NC_035780.1,7205034,7210034,90,0.0459579
NC_035780.1,7206392,7211392,90,0.00361577
NC_035780.1,7207471,7212471,90,0.0362018
NC_035780.1,7209927,7214927,90,0.0382375
NC_035780.1,7211029,7216029,90,0.0180128
NC_035780.1,7212058,7217058,90,0.00030525
NC_035780.1,7212175,7217175,90,0.00124569
NC_035780.1,7216585,7221585,90,0.0982256
NC_035780.1,7221041,7226041,90,0.0228983
NC_035780.1,7221229,7226229,90,0.00246706
NC_035780.1,7297088,7302088,90,0.00137471
NC_035780.1,7298391,7303391,90,0.449561
NC_035780.1,7300242,7305242,90,0.668412
NC_035780.1,7301251,7306251,90,0.180649
NC_035780.1,7305629,7310629,90,0.597497
NC_035780.1,7310643,7315643,90,0.0211656
NC_035780.1,7323668,7328668,90,0.00487784
NC_035780.1,7324700,7329700,90,0.511295
NC_035780.1,7324759,7329759,90,0.194219
NC_035780.1,7329125,7334125,90,0.154598
NC_035780.1,7329877,7334877,90,0.126739
NC_035780.1,7331507,7336507,90,0.0176196
NC_035780.1,7331509,7336509,90,0.00810527
NC_035780.1,7331665,7336665,90,0.0072708
NC_035780.1,7332716,7337716,90,0.00277
NC_035780.1,7336510,7341510,90,0.000225372
NC_035780.1,7336631,7341631,90,0.00618414
NC_035780.1,7336669,7341669,90,0.0384224
NC_035780.1,7337097,7342097,90,0.0711497
NC_035780.1,7337383,7342383,90,0.0163934
NC_035780.1,7338533,7343533,90,0.00110119
NC_035780.1,7338558,7343558,90,0.0131056
NC_035780.1,7338921,7343921,90,0.75587
NC_035780.1,7340305,7345305,90,0.21537
NC_035780.1,7344397,7349397,90,0.17589
NC_035780.1,7347549,7352549,90,0.164783
NC_035780.1,7348509,7353509,90,0.277019
NC_035780.1,7361706,7366706,90,0.315714
NC_035780.1,7361756,7366756,90,0.158207
NC_035780.1,7363823,7368823,90,0.0289872
NC_035780.1,7363824,7368824,90,0.183967
NC_035780.1,7364809,7369809,90,0.0282166
