XR	start	end	chr
XR_002636969.1	13578	14594	NC_035780.1
XR_002635081.1	169468	170178	NC_035780.1
XR_002636046.1	900326	903430	NC_035780.1
XR_002638148.1	1280831	1282416	NC_035780.1
XR_002639675.1	1432944	1458091	NC_035780.1
XR_002636574.1	1503802	1513830	NC_035780.1
XR_002636863.1	1856841	1863697	NC_035780.1
XR_002635698.1	2161223	2166803	NC_035780.1
XR_002637875.1	2928484	2930094	NC_035780.1
XR_002639757.1	3114949	3115751	NC_035780.1
XR_002637403.1	3360585	3366567	NC_035780.1
XR_002638411.1	3492475	3493506	NC_035780.1
XR_002639131.1	3517611	3518657	NC_035780.1
XR_002637017.1	3527994	3528887	NC_035780.1
XR_002637713.1	3537514	3538463	NC_035780.1
XR_002637880.1	3542837	3543632	NC_035780.1
XR_002637799.1	3554796	3556838	NC_035780.1
XR_002638995.1	4063705	4068299	NC_035780.1
XR_002634943.1	4604009	4606600	NC_035780.1
XR_002638063.1	4697237	4699348	NC_035780.1
XR_002638876.1	4712174	4712954	NC_035780.1
XR_002637797.1	5128880	5129608	NC_035780.1
XR_002635789.1	5400975	5403441	NC_035780.1
XR_002634753.1	5848333	5860906	NC_035780.1
XR_002633935.1	6132120	6132550	NC_035780.1
XR_002634061.1	6165196	6165696	NC_035780.1
XR_002639939.1	6264833	6267090	NC_035780.1
XR_002636171.1	6386501	6388323	NC_035780.1
XR_002639137.1	6653487	6655658	NC_035780.1
XR_002639138.1	6746869	6760612	NC_035780.1
XR_002637000.1	6893435	6894374	NC_035780.1
XR_002635934.1	7813125	7821327	NC_035780.1
XR_002638094.1	8131059	8135404	NC_035780.1
XR_002638679.1	8340399	8352840	NC_035780.1
XR_002638671.1	8365125	8376350	NC_035780.1
XR_002638132.1	8579031	8579698	NC_035780.1
XR_002636687.1	8951007	8951628	NC_035780.1
XR_002638840.1	9414842	9416655	NC_035780.1
XR_002638600.1	9684447	9710017	NC_035780.1
XR_002635894.1	9792136	9795603	NC_035780.1
