"","XP","XM","log2FoldChange","pvalue","FDR","sig","start","end","chr"
"1","XP_022286052.1","XM_022430344.1",-0.00168316406751348,0.751990570400255,0.999848345372641,"False",27144889,27148379,"NC_035784.1"
"2","XP_022286053.1","XM_022430345.1",-0.00133536683497068,0.756452902285724,0.999848345372641,"False",27149013,27154057,"NC_035784.1"
"3","XP_022286054.1","XM_022430346.1",0.000309428041849791,0.841157741590427,0.999848345372641,"False",27149013,27154057,"NC_035784.1"
"4","XP_022286055.1","XM_022430347.1",0.0074896229868342,0.0158870965116687,0.497680190179057,"False",14631654,14637652,"NC_035780.1"
"5","XP_022286056.1","XM_022430348.1",0.0192454506795964,0.0459747730430741,0.760932024110943,"False",81231486,81236421,"NC_035784.1"
"6","XP_022286061.1","XM_022430353.1",0.00030432778006022,0.930927110963635,0.999848345372641,"False",95882037,95928172,"NC_035784.1"
"7","XP_022286062.1","XM_022430354.1",0.00714288564136083,0.240058750647297,0.999848345372641,"False",95882037,95928172,"NC_035784.1"
"8","XP_022286063.1","XM_022430355.1",-0.000807212305445625,0.814392803662901,0.999848345372641,"False",95882037,95928172,"NC_035784.1"
"9","XP_022286068.1","XM_022430360.1",-0.000126097667527728,0.973418970837564,0.999848345372641,"False",5972764,5975412,"NC_035780.1"
"10","XP_022286069.1","XM_022430361.1",9.80771673660243e-05,0.956802015397141,0.999848345372641,"False",95882037,95928172,"NC_035784.1"
"11","XP_022286075.1","XM_022430367.1",0.00105974850354655,0.559166373953253,0.999848345372641,"False",95882037,95928172,"NC_035784.1"
"12","XP_022286077.1","XM_022430369.1",-0.000952156175830871,0.882205597048043,0.999848345372641,"False",95882037,95928172,"NC_035784.1"
"13","XP_022286080.1","XM_022430372.1",0.0027796192616773,0.754959112926408,0.999848345372641,"False",95882037,95928172,"NC_035784.1"
"14","XP_022286084.1","XM_022430376.1",-0.0125748340820666,0.193098170821089,0.999848345372641,"False",95882037,95928172,"NC_035784.1"
"15","XP_022286086.1","XM_022430378.1",0.000529201053418755,0.905351040894447,0.999848345372641,"False",95900631,95928172,"NC_035784.1"
"16","XP_022286087.1","XM_022430379.1",-0.00121954086376309,0.814931467289129,0.999848345372641,"False",86219306,86270975,"NC_035784.1"
"17","XP_022286089.1","XM_022430381.1",0.00126293133849535,0.514024674602674,0.999848345372641,"False",31957485,31964060,"NC_035784.1"
"18","XP_022286091.1","XM_022430383.1",0.00257352218408122,0.724492490413023,0.999848345372641,"False",31957485,31964060,"NC_035784.1"
"19","XP_022286093.1","XM_022430385.1",0.00343603714111441,0.551745901572935,0.999848345372641,"False",31919857,31930062,"NC_035784.1"
"20","XP_022286094.1","XM_022430386.1",-0.00148729680272332,0.644373223199112,0.999848345372641,"False",31919857,31930529,"NC_035784.1"
"21","XP_022286096.1","XM_022430388.1",4.16627052341916e-05,0.977333469089564,0.999848345372641,"False",31919857,31930529,"NC_035784.1"
"22","XP_022286098.1","XM_022430390.1",-0.00155916147108677,0.647803112481063,0.999848345372641,"False",31919857,31928816,"NC_035784.1"
"23","XP_022286100.1","XM_022430392.1",-0.00661173010423395,0.626378112822914,0.999848345372641,"False",17101680,17109695,"NC_035784.1"
"24","XP_022286102.1","XM_022430394.1",-0.00544185199946346,0.644389394255364,0.999848345372641,"False",43424806,43428062,"NC_035784.1"
"25","XP_022286106.1","XM_022430398.1",0.00535019788776497,0.510155748430289,0.999848345372641,"False",10569667,10584845,"NC_035784.1"
"26","XP_022286110.1","XM_022430402.1",0.00596909224688304,0.117754097265443,0.999848345372641,"False",56921787,56924699,"NC_035784.1"
"27","XP_022286118.1","XM_022430410.1",0.0320171577675937,0.013945584827162,0.470641932020687,"False",6187847,6195683,"NC_035784.1"
"28","XP_022286119.1","XM_022430411.1",-0.00196483833173175,0.887585098191706,0.999848345372641,"False",2253503,2264146,"NC_035784.1"
"29","XP_022286120.1","XM_022430412.1",-0.00320484177630076,0.352982378870041,0.999848345372641,"False",83463045,83464388,"NC_035784.1"
"30","XP_022286122.1","XM_022430414.1",0.00613449741146154,0.00449697338760427,0.260969813196607,"False",14091904,14097801,"NC_035780.1"
"31","XP_022286123.1","XM_022430415.1",0.00580533639563419,0.609840861182509,0.999848345372641,"False",7340714,7348894,"NC_035784.1"
"32","XP_022286124.1","XM_022430416.1",-0.00982942597589763,0.342025131596929,0.999848345372641,"False",27226773,27230818,"NC_035784.1"
"33","XP_022286133.1","XM_022430425.1",-0.000777533324991111,0.757456746223295,0.999848345372641,"False",88436595,88440807,"NC_035784.1"
"34","XP_022286134.1","XM_022430426.1",-0.00374949758123494,0.826232896484331,0.999848345372641,"False",59201745,59209770,"NC_035784.1"
"35","XP_022286136.1","XM_022430428.1",-0.0194227545366777,0.1240203196574,0.999848345372641,"False",58960975,58963706,"NC_035780.1"
"36","XP_022286139.1","XM_022430431.1",-0.000998084689160754,0.820995621442813,0.999848345372641,"False",43628152,43628152,"NC_035784.1"
"37","XP_022286147.1","XM_022430439.1",-0.000326538080324781,0.977295696569356,0.999848345372641,"False",70196076,70204818,"NC_035784.1"
