XP	start	end	chr
XP_022286047.1	52839054	52858348	NC_035784.1
XP_022286048.1	2415709	2419841	NC_035784.1
XP_022286049.1	2415709	2419841	NC_035784.1
XP_022286050.1	2415709	2419841	NC_035784.1
XP_022286051.1	44163122	44163122	NC_035784.1
XP_022286052.1	27144889	27148379	NC_035784.1
XP_022286053.1	27149013	27154057	NC_035784.1
XP_022286054.1	27149013	27154057	NC_035784.1
XP_022286055.1	14631654	14637652	NC_035780.1
XP_022286056.1	81231486	81236421	NC_035784.1
XP_022286057.1	81231486	81235945	NC_035784.1
XP_022286058.1	18253171	18256129	NC_035784.1
XP_022286059.1	43297348	43300693	NC_035784.1
XP_022286060.1	95882037	95928172	NC_035784.1
XP_022286061.1	95882037	95928172	NC_035784.1
XP_022286062.1	95882037	95928172	NC_035784.1
XP_022286063.1	95882037	95928172	NC_035784.1
XP_022286064.1	95882037	95928172	NC_035784.1
XP_022286065.1	95882037	95928172	NC_035784.1
XP_022286066.1	95882037	95928172	NC_035784.1
XP_022286067.1	95882037	95928172	NC_035784.1
XP_022286068.1	5972764	5975412	NC_035780.1
XP_022286069.1	95882037	95928172	NC_035784.1
XP_022286070.1	95882037	95928172	NC_035784.1
XP_022286071.1	95882037	95928172	NC_035784.1
XP_022286072.1	95882037	95928172	NC_035784.1
XP_022286073.1	95882037	95928172	NC_035784.1
XP_022286074.1	95882037	95928172	NC_035784.1
XP_022286075.1	95882037	95928172	NC_035784.1
XP_022286076.1	95882037	95928172	NC_035784.1
XP_022286077.1	95882037	95928172	NC_035784.1
XP_022286078.1	95882037	95928172	NC_035784.1
XP_022286079.1	5972764	5975412	NC_035780.1
XP_022286080.1	95882037	95928172	NC_035784.1
XP_022286081.1	95882037	95928172	NC_035784.1
XP_022286082.1	95882037	95928172	NC_035784.1
XP_022286083.1	95882037	95928172	NC_035784.1
XP_022286084.1	95882037	95928172	NC_035784.1
XP_022286085.1	95892559	95928172	NC_035784.1
XP_022286086.1	95900631	95928172	NC_035784.1
XP_022286087.1	86219306	86270975	NC_035784.1
XP_022286088.1	86219306	86270975	NC_035784.1
XP_022286089.1	31957485	31964060	NC_035784.1
XP_022286090.1	5980350	5981484	NC_035780.1
XP_022286091.1	31957485	31964060	NC_035784.1
XP_022286092.1	31919857	31946824	NC_035784.1
XP_022286093.1	31919857	31930062	NC_035784.1
XP_022286094.1	31919857	31930529	NC_035784.1
XP_022286095.1	31919857	31930529	NC_035784.1
XP_022286096.1	31919857	31930529	NC_035784.1
XP_022286097.1	31919857	31930529	NC_035784.1
XP_022286098.1	31919857	31928816	NC_035784.1
XP_022286099.1	31950260	31951246	NC_035784.1
XP_022286100.1	17101680	17109695	NC_035784.1
XP_022286101.1	6223853	6225555	NC_035784.1
XP_022286102.1	43424806	43428062	NC_035784.1
XP_022286103.1	27097346	27098024	NC_035780.1
XP_022286104.1	85541922	85541922	NC_035784.1
XP_022286105.1	6159061	6172697	NC_035784.1
XP_022286106.1	10569667	10584845	NC_035784.1
XP_022286107.1	10569667	10584845	NC_035784.1
XP_022286108.1	10569667	10584845	NC_035784.1
XP_022286109.1	10599946	10599946	NC_035784.1
XP_022286110.1	56921787	56924699	NC_035784.1
XP_022286111.1	27094163	27098029	NC_035780.1
XP_022286112.1	56925976	56928948	NC_035784.1
XP_022286113.1	56925976	56928948	NC_035784.1
XP_022286114.1	56925976	56928948	NC_035784.1
XP_022286115.1	70482616	70498000	NC_035784.1
XP_022286116.1	70482616	70494983	NC_035784.1
XP_022286117.1	28197539	28200219	NC_035784.1
XP_022286118.1	6187847	6195683	NC_035784.1
XP_022286119.1	2253503	2264146	NC_035784.1
XP_022286120.1	83463045	83464388	NC_035784.1
XP_022286121.1	83463045	83464388	NC_035784.1
XP_022286122.1	14091904	14097801	NC_035780.1
XP_022286123.1	7340714	7348894	NC_035784.1
XP_022286124.1	27226773	27230818	NC_035784.1
XP_022286125.1	27226773	27230818	NC_035784.1
XP_022286126.1	34272869	34277712	NC_035784.1
XP_022286127.1	88441343	88447499	NC_035784.1
XP_022286128.1	88441343	88447499	NC_035784.1
XP_022286129.1	88441343	88447499	NC_035784.1
XP_022286130.1	88441343	88447499	NC_035784.1
XP_022286131.1	88441343	88447499	NC_035784.1
XP_022286132.1	49197178	49208729	NC_035780.1
XP_022286133.1	88436595	88440807	NC_035784.1
XP_022286134.1	59201745	59209770	NC_035784.1
XP_022286135.1	75985160	75990702	NC_035784.1
XP_022286136.1	58960975	58963706	NC_035780.1
XP_022286137.1	86787091	86799038	NC_035784.1
XP_022286138.1	86787091	86799038	NC_035784.1
XP_022286139.1	43628152	43628152	NC_035784.1
XP_022286140.1	581171	585852	NC_035784.1
XP_022286141.1	581171	585852	NC_035784.1
XP_022286142.1	581171	585852	NC_035784.1
XP_022286143.1	581171	585852	NC_035784.1
XP_022286144.1	582551	585852	NC_035784.1
XP_022286145.1	37114334	37124557	NC_035784.1
XP_022286146.1	70196076	70204818	NC_035784.1
XP_022286147.1	70196076	70204818	NC_035784.1
XP_022286148.1	24556516	24566827	NC_035780.1
XP_022286149.1	9284819	9285707	NC_035784.1
XP_022286150.1	9286904	9287929	NC_035784.1
XP_022286151.1	9318653	9342656	NC_035784.1
XP_022286152.1	9318653	9342656	NC_035784.1
XP_022286153.1	65446809	65471694	NC_035784.1
XP_022286154.1	65446809	65471694	NC_035784.1
XP_022286155.1	65446809	65471694	NC_035784.1
XP_022286156.1	65450904	65471694	NC_035784.1
XP_022286157.1	39796704	39800522	NC_035784.1
XP_022286158.1	35845797	35849517	NC_035780.1
XP_022286159.1	39792078	39794908	NC_035784.1
XP_022286160.1	23517798	23521010	NC_035784.1
XP_022286161.1	32767938	32772322	NC_035784.1
XP_022286162.1	87335282	87342660	NC_035784.1
XP_022286163.1	87335282	87342660	NC_035784.1
XP_022286164.1	96131164	96139507	NC_035784.1
XP_022286165.1	10004582	10020884	NC_035784.1
XP_022286166.1	35845797	35849517	NC_035780.1
XP_022286167.1	10004582	10020884	NC_035784.1
XP_022286168.1	10004582	10020884	NC_035784.1
XP_022286169.1	9989135	9989135	NC_035784.1
XP_022286170.1	24244693	24252305	NC_035784.1
XP_022286171.1	24250109	24252305	NC_035784.1
XP_022286172.1	24252370	24252370	NC_035784.1
XP_022286173.1	25234248	25249409	NC_035784.1
XP_022286174.1	25234248	25249409	NC_035784.1
XP_022286175.1	25234248	25249409	NC_035784.1
XP_022286176.1	25160858	25174863	NC_035784.1
XP_022286177.1	25160858	25174863	NC_035784.1
XP_022286178.1	18880680	18885334	NC_035780.1
XP_022286179.1	25252398	25261884	NC_035784.1
XP_022286180.1	25220833	25228302	NC_035784.1
XP_022286181.1	25298306	25301451	NC_035784.1
XP_022286182.1	25298306	25300247	NC_035784.1
XP_022286183.1	25298306	25302127	NC_035784.1
XP_022286184.1	25298306	25302069	NC_035784.1
XP_022286185.1	25292502	25292502	NC_035784.1
XP_022286186.1	25302625	25308506	NC_035784.1
XP_022286187.1	25347489	25349088	NC_035784.1
XP_022286188.1	25343233	25343490	NC_035784.1
XP_022286189.1	25138768	25157504	NC_035784.1
XP_022286190.1	29848908	29850037	NC_035780.1
XP_022286191.1	57162762	57167287	NC_035784.1
XP_022286192.1	4374010	4374010	NC_035784.1
XP_022286193.1	44007659	44014956	NC_035784.1
XP_022286194.1	73297091	73299003	NC_035784.1
XP_022286195.1	73308000	73308786	NC_035784.1
XP_022286196.1	15318314	15333554	NC_035784.1
XP_022286197.1	6843622	6847550	NC_035784.1
XP_022286198.1	6843622	6847550	NC_035784.1
XP_022286199.1	6843622	6847550	NC_035784.1
XP_022286200.1	43708670	43724249	NC_035780.1
XP_022286201.1	80696566	80708913	NC_035784.1
XP_022286202.1	88503106	88504327	NC_035784.1
XP_022286203.1	69759586	69766336	NC_035784.1
XP_022286204.1	69759586	69766489	NC_035784.1
XP_022286205.1	69759431	69766336	NC_035784.1
XP_022286206.1	69761083	69766336	NC_035784.1
XP_022286207.1	69761083	69766336	NC_035784.1
XP_022286208.1	52039841	52044803	NC_035784.1
XP_022286209.1	49197178	49208729	NC_035780.1
XP_022286210.1	43708670	43724249	NC_035780.1
XP_022286211.1	24977356	24977356	NC_035784.1
XP_022286212.1	24967087	24967087	NC_035784.1
XP_022286213.1	24977356	24977356	NC_035784.1
XP_022286214.1	40926885	40931383	NC_035784.1
XP_022286215.1	40918691	40921977	NC_035784.1
XP_022286216.1	95403266	95433572	NC_035784.1
XP_022286217.1	95403266	95433572	NC_035784.1
XP_022286218.1	43708670	43724249	NC_035780.1
XP_022286219.1	95502039	95564794	NC_035784.1
XP_022286220.1	95502039	95564794	NC_035784.1
XP_022286221.1	95502039	95546673	NC_035784.1
XP_022286222.1	95502039	95546673	NC_035784.1
XP_022286223.1	95527303	95564794	NC_035784.1
XP_022286224.1	95490679	95496485	NC_035784.1
XP_022286225.1	95490679	95621619	NC_035784.1
XP_022286226.1	95490679	95621619	NC_035784.1
XP_022286227.1	95490679	95496485	NC_035784.1
XP_022286228.1	43678257	43688847	NC_035780.1
XP_022286229.1	73451996	73457257	NC_035784.1
XP_022286230.1	3390089	3394474	NC_035784.1
XP_022286231.1	43145475	43152222	NC_035784.1
XP_022286232.1	43145475	43152222	NC_035784.1
XP_022286233.1	30414173	30427593	NC_035784.1
XP_022286234.1	33673108	33673108	NC_035784.1
XP_022286235.1	91089715	91091062	NC_035784.1
XP_022286236.1	91087167	91087884	NC_035784.1
XP_022286237.1	63727133	63727133	NC_035780.1
XP_022286238.1	91087167	91088270	NC_035784.1
XP_022286239.1	42967474	42977582	NC_035784.1
XP_022286240.1	42967474	42977582	NC_035784.1
XP_022286241.1	16463677	16463677	NC_035784.1
XP_022286242.1	80489097	80508703	NC_035784.1
XP_022286243.1	80489097	80499440	NC_035784.1
XP_022286244.1	80489097	80502459	NC_035784.1
XP_022286245.1	80489097	80506688	NC_035784.1
XP_022286246.1	80489097	80506599	NC_035784.1
XP_022286247.1	10385367	10391858	NC_035784.1
XP_022286248.1	10385367	10391858	NC_035784.1
XP_022286249.1	10394056	10397180	NC_035784.1
XP_022286250.1	56765721	56798331	NC_035780.1
XP_022286251.1	25819030	25819030	NC_035784.1
XP_022286252.1	2052220	2059221	NC_035784.1
XP_022286253.1	26423186	26442432	NC_035784.1
XP_022286254.1	330491	386815	NC_035784.1
XP_022286255.1	330491	386815	NC_035784.1
XP_022286256.1	330491	386815	NC_035784.1
XP_022286257.1	330491	386815	NC_035784.1
XP_022286258.1	330491	386815	NC_035784.1
XP_022286259.1	56765721	56798331	NC_035780.1
XP_022286260.1	330491	386815	NC_035784.1
XP_022286261.1	332145	386815	NC_035784.1
XP_022286262.1	358713	386815	NC_035784.1
XP_022286263.1	354999	386815	NC_035784.1
XP_022286264.1	376203	386815	NC_035784.1
XP_022286265.1	373025	386815	NC_035784.1
XP_022286266.1	360545	386815	NC_035784.1
XP_022286267.1	369112	386815	NC_035784.1
XP_022286268.1	368215	386815	NC_035784.1
XP_022286269.1	378916	386815	NC_035784.1
XP_022286270.1	378916	386815	NC_035784.1
XP_022286271.1	378916	386815	NC_035784.1
XP_022286272.1	354999	386815	NC_035784.1
XP_022286273.1	56762331	56763551	NC_035780.1
